@relation data_mipa_ipk_over
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","FISIKA","G3","SRJN","PDG","PNS","SKS1_K","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","FISIKA","G3","SMTA","LL","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_M"
"P","FISIKA","G3","SRJN","GRD","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","FISIKA","G1","SD","PDG","LL","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G1","SD","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"P","FISIKA","G2","SMTA","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_SM"
"L","FISIKA","G1","SMTA","LL","PDG","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_KM"
"P","FISIKA","G2","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","FISIKA","G3","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_KM","IPS2_KM","IPK_M"
"L","FISIKA","G2","LL","BPN","BPN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G3","SMTA","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G3","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"L","FISIKA","G4","SRJN","GRD","PSN","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_KM"
"P","FISIKA","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"L","FISIKA","G2","SRJN","PNS","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","FISIKA","G3","SMTA","PDG","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","FISIKA","G2","SMP","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G2","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","FISIKA","G1","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_CUM"
"P","FISIKA","G1","SD","PDG","BPN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G3","SD","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","FISIKA","G1","LL","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G1","SD","PDG","PDG","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_KM"
"L","FISIKA","G3","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","FISIKA","G3","SMP","PDG","GRD","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_KM"
