@relation data_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","AKU","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G4","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LTW"
"L","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","AKU","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G2","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","AKU","G3","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","AKU","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"P","AKU","G4","SRJN","PDG","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","AKU","G3","SMTA","PDG","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SMTA","LL","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","AKU","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"L","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LTW"
"L","AKU","G3","SMP","LL","PS","SKS1_SB","SKS2_K","IPS1_KM","IPS2_KM","LLW_2"
"P","AKU","G2","SMTA","PDG","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"P","AKU","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LC"
"P","AKU","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LTW"
"L","AKU","G3","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
